sku,category_ids
etrade176,"rt - office supplies|Inks & Toners|Printer/Fax/Copier Supplies|Laser Toners|Black"
etrade177,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Display Books|21-30 Pockets"
etrade178,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Ring Binders|A4 Size"
etrade179,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Ring Binders|A4 Size"
etrade180,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Ring Binders|A4 Size"
etrade181,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Ring Binders|A5 Size"
etrade182,"rt - office supplies|Inks & Toners|Printer/Fax/Copier Supplies|Laser Toners|Black"
etrade183,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Ring Binders|A4 Size"
etrade184,"rt - office supplies|Inks & Toners|Printer/Fax/Copier Supplies|Laser Toners|Black"
etrade185,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Presentation Folders|A4"
etrade186,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Ball Point Pens|Blue"
etrade187,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Plastic Wallets|A4"
etrade188,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Plastic Wallets|A4"
etrade189,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Rollerball Pens|Black"
etrade190,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Suspension Filing|Suspension File"
etrade191,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Suspension Filing|Tabs"
etrade192,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|OHP Pens|Non-Permanent"
etrade193,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Rollerball Pens|Black"
etrade194,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Rollerball Pens|Blue"
etrade195,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Rollerball Pens|Black"
etrade196,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Rollerball Pens|Blue"
etrade197,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Rollerball Pens|Black"
etrade198,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|OHP Pens|Permanent"
etrade199,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|OHP Pens|Permanent"
etrade200,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Rollerball Pens|Blue"
etrade201,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Refill Ink|Cartridge"
etrade202,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|OHP Pens|Non-Permanent"
etrade203,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Rollerball Pens|Black"
etrade204,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Rollerball Pens|Blue"
etrade205,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Rollerball Pens|Black"
etrade206,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Fountain Pens|Black Barrel"
etrade207,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|OHP Pens|Permanent"
etrade208,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Rollerball Pens|Blue"
etrade209,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|OHP Pens|Non-Permanent"
etrade210,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|OHP Pens|Non-Permanent"
etrade211,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|OHP Pens|Permanent"
etrade212,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|OHP Pens|Permanent"
etrade213,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|OHP Pens|Permanent"
etrade214,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Ball Point Pens|Red"
etrade215,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Ball Point Pens|Red"
etrade216,"rt - office supplies|Postal Supplies|Books, Pads & Albums|Manuscript Books|Ruled"
etrade217,"rt - office supplies|Office Supplies|Desktop Accessories|Desk Mats|Various Sizes"
etrade218,"rt - office supplies|Postal Supplies|Mailroom & Warehouse|Packing Materials|Bubble Wrap"
etrade219,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Lateral Filing|Inserts"
etrade220,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Lateral Filing|Lateral File"
etrade221,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Fineliner Pens|Black"
etrade222,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Fineliner Pens|Blue"
etrade223,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Refill Ink|Cartridge"
etrade224,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Permanent Markers|Bullet Tip"
etrade225,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Refill Ink|Cartridge"
etrade226,"rt - office supplies|Facilities|Janitorial|Rubbish Bins|Bins"
etrade227,"rt - office supplies|Facilities|Janitorial|Rubbish Bins|Bins"
etrade228,"rt - office supplies|Facilities|Janitorial|Rubbish Bins|Bins"
etrade229,"rt - office supplies|Facilities|Office Environment|Bulbs|Fluorescent"
etrade230,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Fineliner Pens|Black"
etrade231,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Fineliner Pens|Blue"
etrade232,"rt - office supplies|Postal Supplies|Mailroom & Warehouse|Mailroom & Warehouse Other|Unspecified"
etrade233,"rt - office supplies|Facilities|Office Environment|Waste Bins|Round"
etrade234,"rt - office supplies|Facilities|Office Environment|Waste Bins|Round"
etrade235,"rt - office supplies|Facilities|Office Environment|Waste Bins|Round"
etrade236,"rt - office supplies|Facilities|Office Environment|Office Environment Other|Unspecified"
etrade237,"rt - office supplies|Facilities|Office Environment|Office Environment Other|Unspecified"
